                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.62591,                0.56211,                 1.0496,                0.77194,                0.79589,                0.83317,                0.62158,                0.88325,                0.74417,                 1.2282,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.5953,                0.52288,                 1.0213,                0.87364,                0.71582,                0.82191,                0.60634,                0.91504,                0.81125,                 1.2277,             0.00029723,             0.00029723,             0.00029723
                     85,                0.60445,                0.51207,                 1.0182,                0.89514,                0.71938,                0.82527,                 0.6169,                0.89226,                0.80888,                 1.2194,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.6167,                0.54277,                 1.0532,                0.90629,                0.73346,                0.84139,                0.63887,                0.87246,                0.76697,                 1.2104,             0.00026422,             0.00026422,             0.00026422
                     87,                0.60049,                0.54395,                  1.043,                0.89523,                0.76352,                0.84499,                0.63367,                0.88511,                0.75951,                 1.2052,             0.00024772,             0.00024772,             0.00024772
                     88,                0.59184,                0.52873,                 1.0327,                0.88662,                0.75832,                0.84288,                0.62858,                0.88113,                0.75588,                 1.1868,             0.00023121,             0.00023121,             0.00023121
                     89,                0.58853,                0.50877,                 1.0275,                 0.8971,                0.74328,                0.83765,                0.63002,                0.88568,                0.74087,                 1.2046,             0.00021471,             0.00021471,             0.00021471
                     90,                0.61737,                 0.5633,                 1.0374,                0.86934,                0.77419,                0.83906,                0.63043,                0.87843,                0.72638,                 1.2124,             0.00019821,             0.00019821,             0.00019821
                     91,                0.54012,                0.57655,                0.96149,                0.88136,                0.76502,                0.84572,                0.63298,                0.88617,                0.74715,                 1.2128,              0.0001817,              0.0001817,              0.0001817
                     92,                0.55435,                0.51972,                0.94008,                0.86618,                0.76967,                0.84019,                0.63023,                0.89293,                0.79441,                 1.2073,              0.0001652,              0.0001652,              0.0001652
                     93,                0.51833,                0.46246,                0.92187,                0.84958,                0.78376,                0.84287,                0.63451,                0.87168,                0.75555,                 1.1976,              0.0001487,              0.0001487,              0.0001487
                     94,                0.49767,                0.44793,                0.92359,                0.88169,                0.75249,                0.85227,                0.64432,                 0.8633,                0.71763,                 1.2094,             0.00013219,             0.00013219,             0.00013219
                     95,                0.50804,                0.42447,                0.94043,                0.89859,                0.76333,                0.85879,                0.64504,                0.86376,                0.70396,                  1.207,             0.00011569,             0.00011569,             0.00011569
                     96,                  0.502,                0.44605,                0.91328,                0.89398,                0.75114,                0.85728,                0.64556,                0.87609,                 0.7103,                 1.2115,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.51078,                0.45571,                0.93119,                0.90378,                0.74225,                0.85347,                0.64349,                0.88181,                0.72692,                 1.2035,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.49958,                0.45235,                0.92667,                0.89903,                0.74369,                0.85876,                0.64822,                0.87332,                0.71778,                 1.1981,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.50513,                0.46857,                0.92226,                0.80666,                 0.8248,                0.86521,                0.65582,                0.86144,                0.69734,                 1.1965,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.49313,                  0.415,                0.90772,                0.80719,                0.83674,                0.86808,                0.66011,                0.85389,                0.69464,                 1.1948,             3.3173e-05,             3.3173e-05,             3.3173e-05
